paises,cantidad_de_personas,,,,
AFGANISTAN,6,,,,
ALBANIA,5,,,,
ALEMANIA,5867,,,,
ANDORRA,97,,,,
ANGOLA,18,,,,
ANTIGUA Y BARBUDA,3,,,,
ANTILLAS HOLANDESAS,355,,,,
ARABIA SAUDITA,164,,,,
ARGELIA,17,,,,
ARGENTINA,13963,,,,
ARMENIA,2,,,,
ARUBA,4298,,,,
AUSTRALIA,8779,,,,
AUSTRIA,931,,,,
AZERBAIYAN,68,,,,
BAHAMAS,16,,,,
BAHREIN,42,,,,
BANGLADESH,8,,,,
BARBADOS,5,,,,
BELGICA,2389,,,,
BELICE,12,,,,
BENIN,6,,,,
BERMUDAS,5,,,,
BIELORRUSIA,11,,,,
BOLIVIA,1415,,,,
BONAIRE,64,,,,
BOSNIA Y HERZEGOVINA,4,,,,
BOTSUANA,1,,,,
BRASIL,9110,,,,
BRUNEI DARUSSALAM,2,,,,
BULGARIA,19,,,,
BURKINA FASO,1,,,moda,1
BURUNDI,1,,,media,3200.923913
CABO VERDE,4,,,mediana,22.5
CAMBOYA,24,,,,
CAMERUN,6,,,,
CANADA,26719,,,,
CHILE,19940,,,,
CHINA,623,,,,
CHIPRE,21,,,,
CONGO,1,,,,
CONGO REPUBLICA DEMOCRATICA DE,7,,,,
COREA REPUBLICA DE,400,,,,
COREA REPUBLICA DEMOCRATICA POPULAR DE,1,,,,
COSTA DE MARFIL,4,,,,
COSTA RICA,7689,,,,
CROACIA,26,,,,
CUBA,221,,,,
CURAÇAO,2792,,,,
DESCONOCIDO,30,,,,
DINAMARCA,308,,,,
DOMINICA,1,,,,
ECUADOR,30260,,,,
EGIPTO,89,,,,
EL SALVADOR,703,,,,
EMIRATOS ARABES UNIDOS,1424,,,,
ESLOVAQUIA,31,,,,
ESLOVENIA,21,,,,
ESPAÑA,110932,,,,
ESTADOS UNIDOS,148036,,,,
ESTONIA,22,,,,
ETIOPIA,7,,,,
FEDERACION DE RUSIA,633,,,,
FILIPINAS,79,,,,
FINLANDIA,293,,,,
FRANCIA,13680,,,,
GABON,16,,,,
GEORGIA,2,,,,
GHANA,21,,,,
GRECIA,128,,,,
GUADALUPE,1,,,,
GUATEMALA,2264,,,,
GUINEA,2,,,,
GUINEA-BISSAU,1,,,,
GUINEA ECUATORIAL,14,,,,
GUYANA,18,,,,
GUYANA FRANCESA,23,,,,
HAITI,53,,,,
HONDURAS,764,,,,
HONG KONG,173,,,,
HUNGRIA,81,,,,
INDIA,131,,,,
INDONESIA,96,,,,
IRAK,6,,,,
IRAN  REPUBLICA ISLAMICA DE,10,,,,
IRLANDA,404,,,,
ISLANDIA,8,,,,
ISLAS COMOROS,1,,,,
ISLAS VIRGENES BRITANICAS,1,,,,
ISRAEL,665,,,,
ITALIA,8415,,,,
JAMAICA,110,,,,
JAPON,1175,,,,
JORDANIA,57,,,,
KAZAJSTAN,7,,,,
KENIA,76,,,,
KOSOVO,2,,,,
KUWAIT,42,,,,
LAO REPUBLIC DEMOCRATICA POPULAR DE,4,,,,
LETONIA,10,,,,
LIBANO,357,,,,
LIBERIA,2,,,,
LIECHTENSTEIN,10,,,,
